service_id,date,exception_type
0,20201019,1
1,20201026,1
6,20201026,2
7,20201221,1
7,20201228,1
7,20210222,1
7,20210301,1
7,20210426,1
7,20210503,1
8,20201222,1
8,20201229,1
8,20210223,1
8,20210302,1
8,20210427,1
8,20210504,1
9,20201223,1
9,20201230,1
9,20210224,1
9,20210303,1
9,20210428,1
9,20210505,1
10,20201224,1
10,20201231,1
10,20210225,1
10,20210304,1
10,20210429,1
10,20210506,1
11,20210226,1
11,20210305,1
11,20210430,1
11,20210507,1
11,20210514,1
12,20201026,1
12,20201221,1
12,20201222,1
12,20201223,1
12,20201224,1
12,20201228,1
12,20201229,1
12,20201230,1
12,20201231,1
12,20210222,1
12,20210223,1
12,20210224,1
12,20210225,1
12,20210226,1
12,20210301,1
12,20210302,1
12,20210303,1
12,20210304,1
12,20210305,1
12,20210426,1
12,20210427,1
12,20210428,1
12,20210429,1
12,20210430,1
12,20210503,1
12,20210504,1
12,20210505,1
12,20210506,1
12,20210507,1
12,20201225,2
12,20210101,2
12,20210510,2
12,20210511,2
12,20210512,2
12,20210513,2
13,20201019,1
13,20201020,1
13,20201021,1
13,20201022,1
13,20201023,1
13,20201026,1
13,20201027,1
13,20201028,1
13,20201029,1
13,20201030,1
13,20201221,1
13,20201222,1
13,20201223,1
13,20201224,1
13,20201228,1
13,20201229,1
13,20201230,1
13,20201231,1
13,20210222,1
13,20210223,1
13,20210224,1
13,20210225,1
13,20210226,1
13,20210301,1
13,20210302,1
13,20210303,1
13,20210304,1
13,20210305,1
13,20210426,1
13,20210427,1
13,20210428,1
13,20210429,1
13,20210430,1
13,20210503,1
13,20210504,1
13,20210505,1
13,20210506,1
13,20210507,1
13,20201225,2
13,20210101,2
13,20210510,2
13,20210511,2
13,20210512,2
13,20210513,2
14,20201012,1
14,20210104,1
14,20210111,1
14,20210118,1
14,20210125,1
14,20210201,1
14,20210208,1
14,20210215,1
14,20210308,1
14,20210315,1
14,20210322,1
14,20210329,1
14,20210412,1
14,20210419,1
14,20210510,1
14,20210517,1
14,20210531,1
14,20210607,1
14,20210614,1
14,20210621,1
14,20210628,1
15,20201013,1
15,20201103,1
15,20201110,1
15,20201117,1
15,20201124,1
15,20201201,1
15,20201208,1
15,20201215,1
15,20210105,1
15,20210112,1
15,20210119,1
15,20210126,1
15,20210202,1
15,20210209,1
15,20210216,1
15,20210309,1
15,20210316,1
15,20210323,1
15,20210330,1
15,20210406,1
15,20210413,1
15,20210420,1
16,20201014,1
16,20201104,1
16,20201118,1
16,20201125,1
16,20201202,1
16,20201209,1
16,20201216,1
16,20210106,1
16,20210113,1
16,20210120,1
16,20210127,1
16,20210203,1
16,20210210,1
16,20210217,1
16,20210310,1
16,20210317,1
16,20210324,1
16,20210331,1
16,20210407,1
16,20210414,1
16,20210421,1
17,20201015,1
17,20210107,1
17,20210114,1
17,20210121,1
17,20210128,1
17,20210204,1
17,20210211,1
17,20210218,1
17,20210311,1
17,20210318,1
17,20210325,1
17,20210401,1
17,20210408,1
17,20210415,1
17,20210422,1
17,20210520,1
17,20210527,1
17,20210603,1
17,20210610,1
17,20210617,1
17,20210624,1
17,20210701,1
18,20201009,1
18,20201016,1
18,20210108,1
18,20210115,1
18,20210122,1
18,20210129,1
18,20210205,1
18,20210212,1
18,20210219,1
18,20210312,1
18,20210319,1
18,20210326,1
18,20210402,1
18,20210409,1
18,20210416,1
18,20210423,1
18,20210521,1
18,20210528,1
18,20210604,1
18,20210611,1
18,20210618,1
18,20210625,1
18,20210702,1
19,20201009,1
19,20201012,1
19,20201013,1
19,20201015,1
19,20201016,1
19,20210104,1
19,20210105,1
19,20210107,1
19,20210108,1
19,20210111,1
19,20210112,1
19,20210114,1
19,20210115,1
19,20210118,1
19,20210119,1
19,20210121,1
19,20210122,1
19,20210125,1
19,20210126,1
19,20210128,1
19,20210129,1
19,20210201,1
19,20210202,1
19,20210204,1
19,20210205,1
19,20210208,1
19,20210209,1
19,20210211,1
19,20210212,1
19,20210215,1
19,20210216,1
19,20210218,1
19,20210219,1
19,20210308,1
19,20210309,1
19,20210311,1
19,20210312,1
19,20210315,1
19,20210316,1
19,20210318,1
19,20210319,1
19,20210322,1
19,20210323,1
19,20210325,1
19,20210326,1
19,20210329,1
19,20210330,1
19,20210401,1
19,20210402,1
19,20210406,1
19,20210408,1
19,20210409,1
19,20210412,1
19,20210413,1
19,20210415,1
19,20210416,1
19,20210419,1
19,20210420,1
19,20210422,1
19,20210423,1
19,20210510,1
19,20210511,1
19,20210517,1
19,20210518,1
19,20210520,1
19,20210521,1
19,20210525,1
19,20210527,1
19,20210528,1
19,20210531,1
19,20210601,1
19,20210603,1
19,20210604,1
19,20210607,1
19,20210608,1
19,20210610,1
19,20210611,1
19,20210614,1
19,20210615,1
19,20210617,1
19,20210618,1
19,20210621,1
19,20210622,1
19,20210624,1
19,20210625,1
19,20210628,1
19,20210629,1
19,20210701,1
19,20210702,1
19,20210405,2
19,20210524,2
20,20201009,1
20,20201012,1
20,20201013,1
20,20201014,1
20,20201015,1
20,20201016,1
20,20201102,1
20,20201103,1
20,20201104,1
20,20201105,1
20,20201106,1
20,20201109,1
20,20201110,1
20,20201112,1
20,20201113,1
20,20201116,1
20,20201117,1
20,20201118,1
20,20201119,1
20,20201120,1
20,20201123,1
20,20201124,1
20,20201125,1
